"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"28537","ZCTA5 28537",0,0,0,0
"28538","ZCTA5 28538",76,127,108,64
"28539","ZCTA5 28539",1565,1011,1080,796
"28540","ZCTA5 28540",4311,3807,2948,2246
"28542","ZCTA5 28542",137,0,10,48
"28543","ZCTA5 28543",554,431,393,66
"28544","ZCTA5 28544",224,354,355,77
"28546","ZCTA5 28546",3647,3188,3446,1424
"28547","ZCTA5 28547",1632,946,385,135
"28551","ZCTA5 28551",1017,918,782,255
"28552","ZCTA5 28552",0,0,35,33
"28553","ZCTA5 28553",18,8,0,16
"28554","ZCTA5 28554",0,0,0,17
"28555","ZCTA5 28555",284,331,717,229
"28556","ZCTA5 28556",66,63,35,3
"28557","ZCTA5 28557",663,830,750,459
"28560","ZCTA5 28560",1523,1973,1817,1167
"28562","ZCTA5 28562",1980,1832,2095,1617
"28570","ZCTA5 28570",936,979,1358,836
"28571","ZCTA5 28571",36,129,15,20
"28572","ZCTA5 28572",471,482,379,103
"28573","ZCTA5 28573",139,58,71,109
"28574","ZCTA5 28574",1782,1759,2645,791
"28575","ZCTA5 28575",8,10,11,0
"28577","ZCTA5 28577",13,35,3,0
"28578","ZCTA5 28578",429,480,305,370
"28579","ZCTA5 28579",62,13,24,50
"28580","ZCTA5 28580",624,702,555,400
"28581","ZCTA5 28581",11,0,0,0
"28582","ZCTA5 28582",79,88,66,32
"28584","ZCTA5 28584",755,880,895,570
"28585","ZCTA5 28585",130,177,231,95
"28586","ZCTA5 28586",377,448,779,299
"28587","ZCTA5 28587",14,18,1,7
"28589","ZCTA5 28589",0,0,0,0
"28590","ZCTA5 28590",2046,1637,2153,1281
"28594","ZCTA5 28594",106,115,162,198
"28601","ZCTA5 28601",2695,2534,3343,2359
"28602","ZCTA5 28602",1172,1573,2422,1294
"28604","ZCTA5 28604",229,368,371,257
"28605","ZCTA5 28605",82,98,85,72
"28606","ZCTA5 28606",63,98,42,42
"28607","ZCTA5 28607",868,915,1197,702
"28609","ZCTA5 28609",437,577,188,105
"28610","ZCTA5 28610",693,945,606,345
"28611","ZCTA5 28611",0,0,0,29
"28612","ZCTA5 28612",600,498,412,478
"28613","ZCTA5 28613",1741,1595,1698,970
"28615","ZCTA5 28615",52,103,113,38
"28616","ZCTA5 28616",0,3,26,35
"28617","ZCTA5 28617",103,61,50,52
"28618","ZCTA5 28618",192,155,88,93
"28619","ZCTA5 28619",0,0,0,17
"28621","ZCTA5 28621",456,563,702,483
"28622","ZCTA5 28622",133,130,196,22
"28623","ZCTA5 28623",92,153,190,26
"28624","ZCTA5 28624",117,100,21,0
"28625","ZCTA5 28625",2148,2124,2430,1172
"28626","ZCTA5 28626",72,156,59,48
"28627","ZCTA5 28627",51,48,37,53
"28628","ZCTA5 28628",0,0,7,0
"28629","ZCTA5 28629",0,0,18,13
"28630","ZCTA5 28630",981,819,1633,764
"28631","ZCTA5 28631",30,0,188,0
"28634","ZCTA5 28634",423,196,275,139
"28635","ZCTA5 28635",188,119,137,69
"28636","ZCTA5 28636",355,232,189,297
"28637","ZCTA5 28637",70,97,80,19
"28638","ZCTA5 28638",660,690,693,425
"28640","ZCTA5 28640",110,194,209,172
"28641","ZCTA5 28641",0,0,0,0
"28642","ZCTA5 28642",167,268,332,406
"28643","ZCTA5 28643",284,266,234,141
"28644","ZCTA5 28644",22,0,59,47
"28645","ZCTA5 28645",2207,2360,2617,1773
"28646","ZCTA5 28646",41,0,36,0
"28649","ZCTA5 28649",112,51,173,0
"28650","ZCTA5 28650",650,849,1232,518
"28651","ZCTA5 28651",174,226,250,69
"28652","ZCTA5 28652",0,0,0,0
"28653","ZCTA5 28653",0,0,0,0
"28654","ZCTA5 28654",107,12,133,243
"28655","ZCTA5 28655",2828,2827,3193,1932
"28657","ZCTA5 28657",328,410,262,306
"28658","ZCTA5 28658",1535,1338,1320,907
"28659","ZCTA5 28659",1051,1505,1307,747
"28660","ZCTA5 28660",274,225,102,132
"28662","ZCTA5 28662",0,0,0,0
"28663","ZCTA5 28663",22,0,0,29
"28664","ZCTA5 28664",0,1,0,0
"28665","ZCTA5 28665",201,104,47,33
"28666","ZCTA5 28666",0,108,0,0
"28667","ZCTA5 28667",27,23,23,22
"28668","ZCTA5 28668",0,0,0,0
"28669","ZCTA5 28669",243,161,56,44
"28670","ZCTA5 28670",60,40,127,59
"28671","ZCTA5 28671",3,12,4,0
