"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"36753","ZCTA5 36753",0,0,0,0
"36754","ZCTA5 36754",179,9,0,9
"36756","ZCTA5 36756",470,237,235,179
"36758","ZCTA5 36758",90,149,267,55
"36759","ZCTA5 36759",108,87,242,65
"36761","ZCTA5 36761",25,119,46,53
"36763","ZCTA5 36763",0,0,4,0
"36764","ZCTA5 36764",0,0,0,0
"36765","ZCTA5 36765",7,1,0,71
"36766","ZCTA5 36766",0,0,0,0
"36767","ZCTA5 36767",140,5,345,15
"36768","ZCTA5 36768",6,2,59,11
"36769","ZCTA5 36769",161,55,236,95
"36773","ZCTA5 36773",24,0,25,7
"36775","ZCTA5 36775",29,46,32,22
"36776","ZCTA5 36776",60,587,28,0
"36782","ZCTA5 36782",54,61,207,129
"36783","ZCTA5 36783",37,30,42,4
"36784","ZCTA5 36784",301,593,638,303
"36785","ZCTA5 36785",94,38,100,18
"36786","ZCTA5 36786",32,139,267,90
"36790","ZCTA5 36790",0,0,0,0
"36792","ZCTA5 36792",55,23,23,8
"36793","ZCTA5 36793",0,0,46,132
"36801","ZCTA5 36801",1829,1123,1335,1173
"36804","ZCTA5 36804",1417,1243,1151,657
"36830","ZCTA5 36830",2093,3051,2611,1771
"36832","ZCTA5 36832",1639,1761,2202,708
"36849","ZCTA5 36849",0,0,0,17
"36850","ZCTA5 36850",76,159,149,160
"36851","ZCTA5 36851",0,0,0,0
"36852","ZCTA5 36852",77,348,51,42
"36853","ZCTA5 36853",363,441,487,189
"36854","ZCTA5 36854",905,838,1143,438
"36855","ZCTA5 36855",55,72,15,2
"36856","ZCTA5 36856",1029,1174,611,194
"36858","ZCTA5 36858",39,11,63,0
"36860","ZCTA5 36860",53,18,22,40
"36861","ZCTA5 36861",43,124,159,59
"36862","ZCTA5 36862",274,136,489,232
"36863","ZCTA5 36863",769,849,667,432
"36865","ZCTA5 36865",0,0,0,0
"36866","ZCTA5 36866",104,133,169,177
"36867","ZCTA5 36867",1456,1368,1204,1118
"36869","ZCTA5 36869",1103,1393,1662,698
"36870","ZCTA5 36870",1109,997,1815,927
"36871","ZCTA5 36871",6,8,58,69
"36874","ZCTA5 36874",726,699,519,348
"36875","ZCTA5 36875",187,274,238,136
"36877","ZCTA5 36877",709,790,1050,778
"36879","ZCTA5 36879",236,111,194,118
"36901","ZCTA5 36901",0,0,0,0
"36904","ZCTA5 36904",245,217,314,116
"36907","ZCTA5 36907",151,71,59,71
"36908","ZCTA5 36908",127,64,130,99
"36910","ZCTA5 36910",0,0,0,0
"36912","ZCTA5 36912",16,88,42,19
"36913","ZCTA5 36913",0,0,0,0
"36915","ZCTA5 36915",54,63,24,46
"36916","ZCTA5 36916",109,23,24,45
"36919","ZCTA5 36919",56,61,112,55
"36921","ZCTA5 36921",48,10,12,39
"36922","ZCTA5 36922",0,63,128,47
"36925","ZCTA5 36925",167,182,362,73
"37010","ZCTA5 37010",124,328,378,321
"37012","ZCTA5 37012",169,194,168,48
"37013","ZCTA5 37013",7819,9153,8280,4021
"37014","ZCTA5 37014",131,243,210,195
"37015","ZCTA5 37015",949,1079,1387,846
"37016","ZCTA5 37016",35,17,29,12
"37018","ZCTA5 37018",80,136,189,223
"37019","ZCTA5 37019",104,0,10,10
"37020","ZCTA5 37020",394,367,306,139
"37022","ZCTA5 37022",310,402,645,145
"37023","ZCTA5 37023",114,42,158,169
"37025","ZCTA5 37025",364,209,453,367
"37026","ZCTA5 37026",177,133,128,48
"37027","ZCTA5 37027",2265,3728,5017,4041
"37028","ZCTA5 37028",54,43,31,28
"37029","ZCTA5 37029",365,640,327,157
"37030","ZCTA5 37030",419,338,531,352
"37031","ZCTA5 37031",129,201,96,158
"37032","ZCTA5 37032",443,427,396,182
"37033","ZCTA5 37033",430,466,520,472
"37034","ZCTA5 37034",620,687,567,296
"37035","ZCTA5 37035",161,221,186,126
"37036","ZCTA5 37036",315,387,660,276
"37037","ZCTA5 37037",602,725,993,351
"37040","ZCTA5 37040",5126,4731,4445,2259
"37042","ZCTA5 37042",7471,6152,6417,3296
"37043","ZCTA5 37043",3984,3962,4716,2368
"37046","ZCTA5 37046",303,534,583,315
"37047","ZCTA5 37047",180,257,152,56
"37048","ZCTA5 37048",286,454,356,339
"37049","ZCTA5 37049",163,271,330,146
"37050","ZCTA5 37050",141,203,213,62
"37051","ZCTA5 37051",124,111,233,400
"37052","ZCTA5 37052",61,230,77,92
"37055","ZCTA5 37055",2094,2010,1657,1015
"37057","ZCTA5 37057",17,0,0,59
"37058","ZCTA5 37058",291,437,520,156
"37059","ZCTA5 37059",152,61,136,101
"37060","ZCTA5 37060",147,244,422,137
"37061","ZCTA5 37061",184,290,428,172
"37062","ZCTA5 37062",909,939,685,580
"37064","ZCTA5 37064",3717,4080,5495,2922
"37066","ZCTA5 37066",3757,4359,4014,2333
"37067","ZCTA5 37067",1987,2128,1874,1177
"37069","ZCTA5 37069",1083,1189,1570,1353
"37072","ZCTA5 37072",1975,1838,2094,1308
"37073","ZCTA5 37073",997,901,960,662
"37074","ZCTA5 37074",590,670,429,329
"37075","ZCTA5 37075",3837,4588,5103,2970
"37076","ZCTA5 37076",2071,1691,2292,1618
"37078","ZCTA5 37078",0,100,54,11
"37079","ZCTA5 37079",311,163,91,91
"37080","ZCTA5 37080",529,151,247,267
"37082","ZCTA5 37082",205,299,374,222
"37083","ZCTA5 37083",1183,1304,1190,471
"37085","ZCTA5 37085",262,359,611,293
"37086","ZCTA5 37086",2379,2815,3943,1752
"37087","ZCTA5 37087",3784,3400,3577,1574
"37090","ZCTA5 37090",1114,993,1264,574
"37091","ZCTA5 37091",1449,1540,1775,1118
"37095","ZCTA5 37095",116,177,55,54
"37096","ZCTA5 37096",386,405,271,241
"37097","ZCTA5 37097",110,147,45,29
"37098","ZCTA5 37098",464,626,270,147
"37101","ZCTA5 37101",329,349,613,400
"37110","ZCTA5 37110",1928,2293,2080,1284
"37115","ZCTA5 37115",2600,2530,2838,1367
"37118","ZCTA5 37118",61,63,24,13
"37122","ZCTA5 37122",3496,4315,5259,3314
"37127","ZCTA5 37127",2510,1163,1857,892
"37128","ZCTA5 37128",4303,5267,6813,4020
"37129","ZCTA5 37129",2847,4088,3951,2664
"37130","ZCTA5 37130",3767,2579,2833,2394
"37132","ZCTA5 37132",0,0,0,23
"37134","ZCTA5 37134",195,217,351,69
"37135","ZCTA5 37135",1273,1875,1764,1321
"37137","ZCTA5 37137",36,45,125,56
"37138","ZCTA5 37138",1077,1080,1675,945
"37140","ZCTA5 37140",0,0,29,27
"37141","ZCTA5 37141",89,61,77,144
"37142","ZCTA5 37142",16,78,88,29
"37143","ZCTA5 37143",136,314,232,262
"37144","ZCTA5 37144",94,164,151,110
"37145","ZCTA5 37145",83,189,177,71
"37146","ZCTA5 37146",608,412,475,346
"37148","ZCTA5 37148",2042,1740,1561,1396
"37149","ZCTA5 37149",77,271,190,108
"37150","ZCTA5 37150",140,479,321,202
"37151","ZCTA5 37151",0,0,25,4
"37153","ZCTA5 37153",275,372,519,175
"37160","ZCTA5 37160",2371,2472,3163,1726
"37165","ZCTA5 37165",0,0,0,0
"37166","ZCTA5 37166",1187,755,893,608
"37167","ZCTA5 37167",4824,4709,4500,2555
"37171","ZCTA5 37171",14,76,229,38
"37172","ZCTA5 37172",1964,1873,2439,1370
"37174","ZCTA5 37174",3183,4719,3514,2102
"37175","ZCTA5 37175",93,18,165,0
"37178","ZCTA5 37178",50,74,116,126
"37179","ZCTA5 37179",1191,1890,1536,764
"37180","ZCTA5 37180",92,103,306,243
"37181","ZCTA5 37181",76,59,71,29
"37183","ZCTA5 37183",171,142,154,110
"37184","ZCTA5 37184",413,433,462,276
"37185","ZCTA5 37185",529,344,517,349
"37186","ZCTA5 37186",640,668,713,613
"37187","ZCTA5 37187",350,711,503,253
"37188","ZCTA5 37188",820,1097,1478,817
"37189","ZCTA5 37189",123,181,196,142
"37190","ZCTA5 37190",352,557,513,514
"37191","ZCTA5 37191",397,124,120,133
"37201","ZCTA5 37201",65,36,36,0
"37203","ZCTA5 37203",540,400,209,73
"37204","ZCTA5 37204",1069,972,909,283
"37205","ZCTA5 37205",1426,1236,1089,856
"37206","ZCTA5 37206",2503,1895,1405,842
"37207","ZCTA5 37207",3361,2302,2785,987
"37208","ZCTA5 37208",730,483,664,813
"37209","ZCTA5 37209",2539,1185,1062,832
"37210","ZCTA5 37210",944,1169,413,342
"37211","ZCTA5 37211",6929,5157,3777,2395
"37212","ZCTA5 37212",528,535,404,397
"37213","ZCTA5 37213",0,0,0,14
"37214","ZCTA5 37214",1693,1398,1315,845
"37215","ZCTA5 37215",1290,1003,1219,577
"37216","ZCTA5 37216",1422,1091,560,392
"37217","ZCTA5 37217",2479,2335,2109,1289
"37218","ZCTA5 37218",961,842,1107,814
"37219","ZCTA5 37219",0,0,0,90
"37220","ZCTA5 37220",378,325,301,141
"37221","ZCTA5 37221",2429,2438,2649,1432
"37228","ZCTA5 37228",52,0,36,142
"37232","ZCTA5 37232",0,0,0,0
"37238","ZCTA5 37238",0,0,0,0
"37301","ZCTA5 37301",101,49,43,79
"37302","ZCTA5 37302",386,221,315,90
"37303","ZCTA5 37303",1287,1394,1273,783
"37305","ZCTA5 37305",35,28,18,24
"37306","ZCTA5 37306",6,57,88,120
"37307","ZCTA5 37307",219,180,433,194
"37308","ZCTA5 37308",145,216,290,134
"37309","ZCTA5 37309",34,51,74,135
"37310","ZCTA5 37310",160,188,222,115
"37311","ZCTA5 37311",2077,1755,1933,1002
"37312","ZCTA5 37312",2014,2364,2298,1541
"37313","ZCTA5 37313",41,66,130,53
"37315","ZCTA5 37315",0,0,0,25
"37316","ZCTA5 37316",0,0,0,0
"37317","ZCTA5 37317",187,98,100,169
"37318","ZCTA5 37318",299,86,116,214
"37321","ZCTA5 37321",1412,1093,1351,949
"37322","ZCTA5 37322",449,455,591,247
"37323","ZCTA5 37323",1316,2232,2106,1429
"37324","ZCTA5 37324",238,259,303,186
"37325","ZCTA5 37325",149,43,116,76
"37326","ZCTA5 37326",28,2,5,2
"37327","ZCTA5 37327",629,707,659,541
"37328","ZCTA5 37328",38,186,186,37
"37329","ZCTA5 37329",356,504,556,332
"37330","ZCTA5 37330",416,543,395,193
"37331","ZCTA5 37331",504,360,431,331
"37332","ZCTA5 37332",134,97,115,39
"37333","ZCTA5 37333",22,14,65,16
"37334","ZCTA5 37334",1691,1320,1810,1054
"37335","ZCTA5 37335",111,203,53,81
"37336","ZCTA5 37336",221,414,132,147
"37337","ZCTA5 37337",59,96,66,12
"37338","ZCTA5 37338",155,214,101,147
"37339","ZCTA5 37339",104,83,196,36
"37340","ZCTA5 37340",0,0,0,0
"37341","ZCTA5 37341",885,1089,804,476
"37342","ZCTA5 37342",113,220,304,302
"37343","ZCTA5 37343",2708,2437,2880,1439
"37345","ZCTA5 37345",121,168,247,67
"37347","ZCTA5 37347",538,616,690,357
"37348","ZCTA5 37348",94,0,34,0
"37350","ZCTA5 37350",139,152,177,93
"37351","ZCTA5 37351",0,0,0,0
"37352","ZCTA5 37352",145,227,199,124
"37353","ZCTA5 37353",314,135,83,179
"37354","ZCTA5 37354",1005,1023,1250,628
"37355","ZCTA5 37355",1905,2051,2146,1141
"37356","ZCTA5 37356",32,78,151,139
"37357","ZCTA5 37357",419,490,391,439
"37359","ZCTA5 37359",12,49,41,51
"37360","ZCTA5 37360",101,78,20,61
"37361","ZCTA5 37361",55,194,83,58
"37362","ZCTA5 37362",258,184,219,83
"37363","ZCTA5 37363",2127,2443,2472,1790
"37365","ZCTA5 37365",176,84,66,80
"37366","ZCTA5 37366",49,59,122,68
"37367","ZCTA5 37367",486,379,666,298
"37369","ZCTA5 37369",11,3,4,0
"37370","ZCTA5 37370",313,464,282,165
"37373","ZCTA5 37373",80,204,198,126
"37374","ZCTA5 37374",131,155,49,99
"37375","ZCTA5 37375",102,70,142,42
"37376","ZCTA5 37376",8,25,0,20
"37377","ZCTA5 37377",760,1533,1431,676
"37379","ZCTA5 37379",1379,1430,2063,1346
"37380","ZCTA5 37380",446,380,258,234
"37381","ZCTA5 37381",498,411,676,438
"37383","ZCTA5 37383",0,0,0,0
"37385","ZCTA5 37385",445,500,816,374
"37387","ZCTA5 37387",281,197,240,77
"37388","ZCTA5 37388",1889,1434,1886,1067
"37391","ZCTA5 37391",59,116,99,74
"37394","ZCTA5 37394",0,1,13,4
"37396","ZCTA5 37396",0,0,0,0
"37397","ZCTA5 37397",509,368,613,433
"37398","ZCTA5 37398",760,854,1009,507
"37402","ZCTA5 37402",301,225,97,26
"37403","ZCTA5 37403",44,53,93,17
"37404","ZCTA5 37404",1058,878,1132,314
"37405","ZCTA5 37405",1256,919,732,421
"37406","ZCTA5 37406",1073,715,853,661
"37407","ZCTA5 37407",1266,1082,1193,535
"37408","ZCTA5 37408",178,102,173,72
"37409","ZCTA5 37409",286,115,145,89
"37410","ZCTA5 37410",345,647,252,207
"37411","ZCTA5 37411",1120,1287,1298,845
"37412","ZCTA5 37412",1074,1533,948,883
"37415","ZCTA5 37415",1199,826,1220,784
"37416","ZCTA5 37416",1193,463,309,248
"37419","ZCTA5 37419",275,406,385,122
"37421","ZCTA5 37421",2518,2675,2980,1913
"37450","ZCTA5 37450",0,0,0,0
"37601","ZCTA5 37601",2148,2373,1856,1386
"37604","ZCTA5 37604",1656,1978,1902,1098
"37614","ZCTA5 37614",0,0,0,0
"37615","ZCTA5 37615",916,1137,1035,848
"37616","ZCTA5 37616",286,203,452,348
"37617","ZCTA5 37617",473,817,664,449
"37618","ZCTA5 37618",841,597,893,503
"37620","ZCTA5 37620",1796,1780,2258,1193
"37640","ZCTA5 37640",85,128,161,102
"37641","ZCTA5 37641",421,484,620,205
"37642","ZCTA5 37642",776,946,699,399
"37643","ZCTA5 37643",1564,1598,1930,1415
"37645","ZCTA5 37645",320,219,280,191
"37650","ZCTA5 37650",739,807,770,480
"37656","ZCTA5 37656",145,66,124,206
"37657","ZCTA5 37657",27,58,55,104
"37658","ZCTA5 37658",46,260,151,85
"37659","ZCTA5 37659",1243,2018,1645,1130
"37660","ZCTA5 37660",2046,1662,2218,1723
"37663","ZCTA5 37663",645,562,637,594
"37664","ZCTA5 37664",1416,1673,1937,934
"37665","ZCTA5 37665",454,485,198,147
"37680","ZCTA5 37680",58,69,54,0
"37681","ZCTA5 37681",238,215,336,246
"37682","ZCTA5 37682",0,52,0,0
"37683","ZCTA5 37683",539,501,852,448
"37686","ZCTA5 37686",257,248,813,421
"37687","ZCTA5 37687",156,153,281,184
"37688","ZCTA5 37688",19,18,52,26
"37690","ZCTA5 37690",162,167,147,176
"37691","ZCTA5 37691",83,0,0,0
"37692","ZCTA5 37692",310,144,153,42
"37694","ZCTA5 37694",84,41,45,66
"37701","ZCTA5 37701",625,791,710,236
"37705","ZCTA5 37705",581,332,233,178
"37708","ZCTA5 37708",199,298,235,288
"37709","ZCTA5 37709",254,276,246,187
"37710","ZCTA5 37710",10,31,49,79
"37711","ZCTA5 37711",272,252,233,410
"37713","ZCTA5 37713",0,43,66,61
"37714","ZCTA5 37714",180,348,262,168
"37715","ZCTA5 37715",10,28,35,16
"37716","ZCTA5 37716",1298,1218,1582,817
"37719","ZCTA5 37719",0,0,0,0
"37721","ZCTA5 37721",922,663,1096,629
"37722","ZCTA5 37722",313,411,420,217
"37723","ZCTA5 37723",24,96,114,18
"37724","ZCTA5 37724",35,52,87,58
"37725","ZCTA5 37725",975,748,833,479
"37726","ZCTA5 37726",213,165,175,152
"37727","ZCTA5 37727",145,94,30,40
"37729","ZCTA5 37729",139,59,48,37
"37730","ZCTA5 37730",0,0,0,0
"37731","ZCTA5 37731",94,31,60,62
"37732","ZCTA5 37732",0,0,0,0
"37733","ZCTA5 37733",0,0,0,0
"37737","ZCTA5 37737",290,308,331,278
"37738","ZCTA5 37738",301,277,303,456
"37742","ZCTA5 37742",457,652,239,199
"37743","ZCTA5 37743",721,1013,1498,892
"37745","ZCTA5 37745",1162,1019,1115,739
"37748","ZCTA5 37748",982,795,969,433
"37752","ZCTA5 37752",387,173,211,135
"37753","ZCTA5 37753",0,10,146,84
"37754","ZCTA5 37754",308,250,170,79
"37755","ZCTA5 37755",99,81,251,245
"37756","ZCTA5 37756",75,160,229,108
"37757","ZCTA5 37757",482,721,664,416
"37760","ZCTA5 37760",436,1044,760,638
"37762","ZCTA5 37762",135,215,23,53
"37763","ZCTA5 37763",680,1020,791,508
"37764","ZCTA5 37764",502,1018,569,384
"37765","ZCTA5 37765",33,33,35,8
"37766","ZCTA5 37766",969,903,961,725
"37769","ZCTA5 37769",273,311,267,120
"37770","ZCTA5 37770",93,139,70,81
"37771","ZCTA5 37771",858,896,1368,615
"37772","ZCTA5 37772",553,929,805,556
"37774","ZCTA5 37774",958,682,1077,529
"37777","ZCTA5 37777",537,504,557,329
"37779","ZCTA5 37779",147,151,264,133
"37801","ZCTA5 37801",1036,1990,1648,1131
"37803","ZCTA5 37803",1934,1825,2165,1092
"37804","ZCTA5 37804",1732,1436,1631,1233
"37806","ZCTA5 37806",45,171,58,102
"37807","ZCTA5 37807",765,783,667,467
"37809","ZCTA5 37809",90,129,165,75
"37810","ZCTA5 37810",35,221,199,102
"37811","ZCTA5 37811",311,181,238,128
"37813","ZCTA5 37813",1244,1341,1238,708
"37814","ZCTA5 37814",2232,2333,2274,1467
"37818","ZCTA5 37818",255,300,297,192
"37819","ZCTA5 37819",85,38,22,7
"37820","ZCTA5 37820",361,430,347,296
"37821","ZCTA5 37821",1457,1466,1179,783
"37825","ZCTA5 37825",534,260,414,379
"37826","ZCTA5 37826",120,104,257,166
"37828","ZCTA5 37828",27,18,27,34
"37829","ZCTA5 37829",42,85,142,92
"37830","ZCTA5 37830",1572,2266,2593,1523
"37840","ZCTA5 37840",371,790,949,415
"37841","ZCTA5 37841",597,572,780,470
"37843","ZCTA5 37843",206,163,272,175
"37845","ZCTA5 37845",0,0,0,0
"37846","ZCTA5 37846",253,174,321,166
"37847","ZCTA5 37847",143,118,196,57
"37848","ZCTA5 37848",0,0,0,12
"37849","ZCTA5 37849",1953,1811,1444,1264
"37851","ZCTA5 37851",0,0,0,0
"37852","ZCTA5 37852",362,166,195,45
"37853","ZCTA5 37853",79,106,149,189
"37854","ZCTA5 37854",446,807,499,702
"37857","ZCTA5 37857",718,539,1318,882
"37860","ZCTA5 37860",86,241,43,191
"37861","ZCTA5 37861",407,653,420,264
"37862","ZCTA5 37862",1354,891,1259,647
"37863","ZCTA5 37863",402,385,647,408
"37865","ZCTA5 37865",1143,973,2163,1222
"37866","ZCTA5 37866",53,142,131,66
"37869","ZCTA5 37869",289,394,315,253
"37870","ZCTA5 37870",122,144,159,276
"37871","ZCTA5 37871",396,365,392,378
"37872","ZCTA5 37872",161,102,229,75
"37873","ZCTA5 37873",162,242,299,181
"37874","ZCTA5 37874",783,1070,940,771
"37876","ZCTA5 37876",1639,2149,1799,804
"37877","ZCTA5 37877",420,608,526,322
"37878","ZCTA5 37878",21,20,0,40
"37879","ZCTA5 37879",753,858,969,278
"37880","ZCTA5 37880",149,115,287,115
"37881","ZCTA5 37881",64,7,93,90
"37882","ZCTA5 37882",52,36,109,81
"37885","ZCTA5 37885",185,146,217,290
"37886","ZCTA5 37886",171,142,200,92
"37887","ZCTA5 37887",331,200,205,160
"37888","ZCTA5 37888",191,166,224,116
"37890","ZCTA5 37890",446,441,433,249
"37891","ZCTA5 37891",131,446,604,238
"37892","ZCTA5 37892",120,91,110,112
"37902","ZCTA5 37902",0,8,29,40
"37909","ZCTA5 37909",1218,594,712,424
"37912","ZCTA5 37912",1223,1029,1464,1003
"37914","ZCTA5 37914",1118,1372,1226,755
"37915","ZCTA5 37915",335,535,238,186
"37916","ZCTA5 37916",193,6,0,47
"37917","ZCTA5 37917",1159,1505,844,981
"37918","ZCTA5 37918",2832,2517,2426,1466
"37919","ZCTA5 37919",1815,2296,1587,1138
"37920","ZCTA5 37920",1976,2272,2152,1349
"37921","ZCTA5 37921",1851,2212,2142,1228
"37922","ZCTA5 37922",2463,2781,3208,1844
"37923","ZCTA5 37923",1846,1649,2117,975
"37924","ZCTA5 37924",1082,999,1020,444
"37929","ZCTA5 37929",0,0,0,0
"37931","ZCTA5 37931",1897,2091,2159,1080
"37932","ZCTA5 37932",1590,1728,1882,1192
"37934","ZCTA5 37934",1159,1363,2250,1472
"37938","ZCTA5 37938",316,743,1222,688
"38001","ZCTA5 38001",214,255,354,181
"38002","ZCTA5 38002",2557,3442,3957,2321
"38004","ZCTA5 38004",632,860,719,513
"38006","ZCTA5 38006",319,465,425,158
"38007","ZCTA5 38007",0,0,0,0
"38008","ZCTA5 38008",549,465,604,467
"38011","ZCTA5 38011",640,590,653,280
"38012","ZCTA5 38012",694,828,752,574
"38015","ZCTA5 38015",103,162,110,76
"38016","ZCTA5 38016",2780,2806,2022,1954
"38017","ZCTA5 38017",3009,3956,5053,3002
"38018","ZCTA5 38018",2635,1635,2948,2131
"38019","ZCTA5 38019",954,1087,1115,698
"38021","ZCTA5 38021",0,0,0,0
"38023","ZCTA5 38023",160,288,324,327
"38024","ZCTA5 38024",1394,1771,1537,1013
"38028","ZCTA5 38028",212,300,407,641
"38029","ZCTA5 38029",0,0,0,0
"38030","ZCTA5 38030",12,0,0,4
"38034","ZCTA5 38034",230,121,210,117
"38036","ZCTA5 38036",0,0,0,0
"38037","ZCTA5 38037",122,167,131,50
"38039","ZCTA5 38039",27,47,32,19
"38040","ZCTA5 38040",208,278,386,97
"38041","ZCTA5 38041",58,153,192,154
"38042","ZCTA5 38042",2,6,0,1
"38044","ZCTA5 38044",39,15,54,49
"38046","ZCTA5 38046",0,0,0,0
"38047","ZCTA5 38047",19,0,30,55
"38049","ZCTA5 38049",123,262,223,127
"38050","ZCTA5 38050",1,0,13,16
"38052","ZCTA5 38052",236,186,290,134
"38053","ZCTA5 38053",1298,1709,2093,1224
"38054","ZCTA5 38054",0,0,0,0
"38057","ZCTA5 38057",182,166,118,47
"38058","ZCTA5 38058",723,584,953,562
"38059","ZCTA5 38059",706,690,734,400
"38060","ZCTA5 38060",799,602,678,309
"38061","ZCTA5 38061",44,41,115,43
"38063","ZCTA5 38063",1119,1081,957,722
"38066","ZCTA5 38066",149,82,226,113
"38067","ZCTA5 38067",78,95,114,111
"38068","ZCTA5 38068",569,576,897,547
"38069","ZCTA5 38069",88,130,151,53
"38070","ZCTA5 38070",0,0,0,7
"38075","ZCTA5 38075",308,140,209,164
"38076","ZCTA5 38076",46,48,41,64
"38077","ZCTA5 38077",0,0,0,0
"38079","ZCTA5 38079",100,36,153,121
"38080","ZCTA5 38080",194,165,205,91
"38103","ZCTA5 38103",464,217,208,93
"38104","ZCTA5 38104",917,740,984,486
"38105","ZCTA5 38105",166,146,228,97
"38106","ZCTA5 38106",1311,1516,1615,698
"38107","ZCTA5 38107",556,758,1138,637
"38108","ZCTA5 38108",2154,1585,1396,521
"38109","ZCTA5 38109",3170,2806,3046,1733
"38111","ZCTA5 38111",3903,1868,2130,1638
"38112","ZCTA5 38112",1159,1152,1116,487
"38113","ZCTA5 38113",0,0,0,0
"38114","ZCTA5 38114",1570,724,1045,639
"38115","ZCTA5 38115",3164,2779,2887,1292
"38116","ZCTA5 38116",3575,3335,3311,1680
"38117","ZCTA5 38117",1829,1598,1288,1001
"38118","ZCTA5 38118",3416,4213,3713,1863
"38119","ZCTA5 38119",838,1528,1368,612
"38120","ZCTA5 38120",615,647,617,395
"38122","ZCTA5 38122",2663,2326,2358,749
"38125","ZCTA5 38125",2614,3482,2794,2129
"38126","ZCTA5 38126",493,573,470,149
"38127","ZCTA5 38127",3534,4015,3576,1694
"38128","ZCTA5 38128",3437,4445,3597,1756
"38131","ZCTA5 38131",0,0,0,0
"38132","ZCTA5 38132",0,0,0,0
"38133","ZCTA5 38133",1699,1907,1368,629
"38134","ZCTA5 38134",2037,3557,2516,2697
"38135","ZCTA5 38135",1710,1603,2234,1333
"38138","ZCTA5 38138",1816,2017,1508,1158
"38139","ZCTA5 38139",981,1468,1424,856
"38141","ZCTA5 38141",1359,2124,2735,987
"38152","ZCTA5 38152",0,0,0,0
"38201","ZCTA5 38201",442,521,698,446
"38220","ZCTA5 38220",100,137,171,95
"38221","ZCTA5 38221",143,169,107,65
"38222","ZCTA5 38222",106,65,118,89
"38224","ZCTA5 38224",132,42,27,6
"38225","ZCTA5 38225",334,261,455,242
"38226","ZCTA5 38226",0,5,10,0
"38229","ZCTA5 38229",51,148,152,189
"38230","ZCTA5 38230",176,274,189,133
"38231","ZCTA5 38231",79,180,207,92
"38232","ZCTA5 38232",24,91,133,101
"38233","ZCTA5 38233",211,148,157,87
"38235","ZCTA5 38235",8,33,10,6
"38236","ZCTA5 38236",113,72,52,25
"38237","ZCTA5 38237",784,740,727,316
"38240","ZCTA5 38240",38,109,127,53
"38241","ZCTA5 38241",74,101,21,34
"38242","ZCTA5 38242",888,1235,1089,762
"38251","ZCTA5 38251",174,233,251,88
"38253","ZCTA5 38253",58,20,65,47
"38254","ZCTA5 38254",0,0,0,0
"38255","ZCTA5 38255",69,116,153,81
"38256","ZCTA5 38256",56,81,109,66
"38257","ZCTA5 38257",353,148,199,162
"38258","ZCTA5 38258",169,75,28,72
"38259","ZCTA5 38259",23,41,30,21
"38260","ZCTA5 38260",130,237,249,132
"38261","ZCTA5 38261",956,1292,1174,556
"38301","ZCTA5 38301",1939,1675,2397,1542
"38305","ZCTA5 38305",3476,3728,3248,2098
"38310","ZCTA5 38310",301,692,571,222
"38311","ZCTA5 38311",0,26,35,9
"38313","ZCTA5 38313",90,108,312,98
"38315","ZCTA5 38315",221,150,176,258
"38316","ZCTA5 38316",163,151,137,152
"38317","ZCTA5 38317",83,198,125,49
"38318","ZCTA5 38318",5,6,57,17
"38320","ZCTA5 38320",472,629,741,498
"38321","ZCTA5 38321",173,242,226,115
"38326","ZCTA5 38326",65,102,94,20
"38327","ZCTA5 38327",36,23,37,11
"38328","ZCTA5 38328",50,103,5,22
"38329","ZCTA5 38329",160,165,273,110
"38330","ZCTA5 38330",361,285,248,197
"38332","ZCTA5 38332",5,69,34,27
"38333","ZCTA5 38333",2,4,13,9
"38334","ZCTA5 38334",110,104,107,79
"38337","ZCTA5 38337",75,146,35,73
"38338","ZCTA5 38338",8,2,7,5
"38339","ZCTA5 38339",34,21,24,9
"38340","ZCTA5 38340",716,704,889,461
"38341","ZCTA5 38341",186,90,129,93
"38342","ZCTA5 38342",116,19,75,40
"38343","ZCTA5 38343",668,824,1053,754
"38344","ZCTA5 38344",480,693,565,307
"38345","ZCTA5 38345",47,75,99,77
"38347","ZCTA5 38347",0,16,61,12
"38348","ZCTA5 38348",80,36,41,72
"38351","ZCTA5 38351",1001,1113,1117,1046
"38352","ZCTA5 38352",26,15,21,0
"38355","ZCTA5 38355",521,654,720,157
"38356","ZCTA5 38356",135,214,102,82
"38357","ZCTA5 38357",297,119,240,172
"38358","ZCTA5 38358",800,857,1607,741
"38359","ZCTA5 38359",25,28,30,7
"38361","ZCTA5 38361",10,80,97,26
"38362","ZCTA5 38362",68,65,17,0
"38363","ZCTA5 38363",278,232,331,290
"38365","ZCTA5 38365",0,0,0,0
"38366","ZCTA5 38366",145,106,135,200
"38367","ZCTA5 38367",69,221,145,128
"38368","ZCTA5 38368",362,51,97,34
"38369","ZCTA5 38369",136,86,35,92
"38370","ZCTA5 38370",106,55,30,56
"38371","ZCTA5 38371",41,121,69,16
"38372","ZCTA5 38372",830,1100,987,778
"38374","ZCTA5 38374",100,89,155,59
"38375","ZCTA5 38375",441,360,296,265
"38376","ZCTA5 38376",0,18,0,0
"38379","ZCTA5 38379",123,88,67,46
